# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
4 12 70.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
4 13 70.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
4 14 70.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
4 15 70.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
4 16 70.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
4 17 70.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
5 0 65.0000 90.0000 4.2218e-01 2.2379e+02 2.5208e+03 7.3907e-09
5 1 65.0000 85.0000 3.6471e-01 4.8702e+01 5.5369e+01 1.5922e-07
5 2 65.0000 80.0000 2.9490e-01 3.5651e+01 3.9615e+01 2.3047e-05
5 3 65.0000 75.0000 2.2128e-01 3.0049e+01 3.3108e+01 2.7791e-04
5 4 65.0000 70.0000 1.2083e-01 2.5554e+01 2.3572e+01 9.9053e-04
5 5 65.0000 65.0000      nan 0.0000e+00 0.0000e+00      nan
5 6 65.0000 60.0000      nan 0.0000e+00 0.0000e+00      nan
5 7 65.0000 55.0000      nan 0.0000e+00 0.0000e+00      nan
5 8 65.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
5 9 65.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
5 10 65.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
5 11 65.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
5 12 65.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
5 13 65.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
5 14 65.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
5 15 65.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
5 16 65.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
5 17 65.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
6 0 60.0000 90.0000 5.0420e-01 2.5897e+02 5.4775e+03 1.0484e-06
6 1 60.0000 85.0000 4.5365e-01 4.6000e+01 5.1880e+01 1.6684e-06
6 2 60.0000 80.0000 3.9320e-01 3.5380e+01 3.3772e+01 2.0401e-05
6 3 60.0000 75.0000 3.2072e-01 2.4696e+01 2.8018e+01 1.3274e-02
6 4 60.0000 70.0000 2.4024e-01 2.3149e+01 2.8528e+01 1.5368e-02
6 5 60.0000 65.0000 1.3359e-01 2.3309e+01 1.7168e+01 5.6191e-04
6 6 60.0000 60.0000      nan 0.0000e+00 0.0000e+00      nan
6 7 60.0000 55.0000      nan 0.0000e+00 0.0000e+00      nan
6 8 60.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
6 9 60.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
6 10 60.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
6 11 60.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
6 12 60.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
6 13 60.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
6 14 60.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
6 15 60.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
6 16 60.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
6 17 60.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
7 0 55.0000 90.0000 5.7097e-01 2.2486e+02 4.3745e+03 7.3745e-06
7 1 55.0000 85.0000 5.3389e-01 4.4382e+01 5.0320e+01 1.9330e-06
7 2 55.0000 80.0000 4.8507e-01 3.5219e+01 3.6809e+01 6.3986e-05
7 3 55.0000 75.0000 4.2921e-01 2.4406e+01 2.6283e+01 1.0175e-02
7 4 55.0000 70.0000 3.5148e-01 2.4818e+01 2.9433e+01 1.4235e-02
7 5 55.0000 65.0000 2.6182e-01 2.1748e+01 2.0478e+01 8.9591e-03
7 6 55.0000 60.0000 1.4587e-01 2.2796e+01 2.0616e+01 3.6389e-03
7 7 55.0000 55.0000      nan 0.0000e+00 0.0000e+00      nan
7 8 55.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
7 9 55.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
7 10 55.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
7 11 55.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
7 12 55.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
7 13 55.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
7 14 55.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
7 15 55.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
7 16 55.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
7 17 55.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
8 0 50.0000 90.0000 6.4232e-01 2.2906e+02 6.7740e+03 1.1253e-06
8 1 50.0000 85.0000 6.0972e-01 3.7959e+01 5.7114e+01 7.5032e-04
8 2 50.0000 80.0000 5.6471e-01 3.5296e+01 3.4122e+01 2.0728e-05
8 3 50.0000 75.0000 5.1303e-01 2.2891e+01 3.0812e+01 6.7241e-03
8 4 50.0000 70.0000 4.4996e-01 2.1746e+01 2.3059e+01 1.7193e-02
8 5 50.0000 65.0000 3.8063e-01 2.0122e+01 2.5043e+01 9.6801e-03
8 6 50.0000 60.0000 2.8817e-01 1.8553e+01 2.0090e+01 4.3493e-02
8 7 50.0000 55.0000 1.6697e-01 1.6533e+01 2.1029e+01 6.1317e-03
8 8 50.0000 50.0000      nan 0.0000e+00 0.0000e+00      nan
8 9 50.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
8 10 50.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
8 11 50.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
8 12 50.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
8 13 50.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
8 14 50.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
8 15 50.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
8 16 50.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
8 17 50.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
9 0 45.0000 90.0000 7.0927e-01 1.8457e+02 6.7388e+03 1.0549e-04
9 1 45.0000 85.0000 6.8149e-01 3.8171e+01 5.6979e+01 1.0223e-03
9 2 45.0000 80.0000 6.4387e-01 2.8081e+01 3.5417e+01 6.6123e-03
9 3 45.0000 75.0000 6.0638e-01 2.5331e+01 2.7957e+01 5.1463e-03
9 4 45.0000 70.0000 5.5016e-01 2.2239e+01 2.3398e+01 1.5664e-02
9 5 45.0000 65.0000 4.8846e-01 2.1798e+01 2.3386e+01 2.5604e-02
9 6 45.0000 60.0000 4.1198e-01 1.9967e+01 2.2344e+01 3.6923e-02
9 7 45.0000 55.0000 3.1136e-01 1.8603e+01 1.9452e+01 7.1207e-02
9 8 45.0000 50.0000 1.8051e-01 1.3597e+01 1.9733e+01 1.5886e-03
9 9 45.0000 45.0000      nan 0.0000e+00 0.0000e+00      nan
9 10 45.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
9 11 45.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
9 12 45.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
9 13 45.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
9 14 45.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
9 15 45.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
9 16 45.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
9 17 45.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
10 0 40.0000 90.0000 7.6739e-01 1.6721e+02 2.3295e+03 1.5717e-04
10 1 40.0000 85.0000 7.4104e-01 3.6874e+01 5.6543e+01 2.4543e-03
10 2 40.0000 80.0000 7.2787e-01 3.2696e+01 4.0761e+01 1.5447e-03
10 3 40.0000 75.0000 6.8525e-01 2.5737e+01 3.1222e+01 1.2407e-02
